Question,Generated Answer,Retrieved Source 1,Retrieved Source 2,Retrieved Source 3,Quality Score (1-5),Comments
Do customers report unauthorized access to their accounts?,I feel as if our banking account is being access by someone within the company or they have a breech that they are not telling their customers about. I am at the point that i am going to sue them for fraud and for not keeping our account safe.,"again, working in the industry, i know that this is not how the process is supposed to work, and the appropriate regulatory bodies should be made aware of the concern. the unauthorized activity on my account was just {$5.00} ; imagine how customers facing a much larger amount must feel if they are being treated similarly?","i feel the need to report this because no company or person ever legitimately asks for the access password to a customer 's bank account. if someone at their company obtained that password, they could withdraw all of my money, manipulate my mortgage, bank loans, credit cards and so forth. and of course, the consequences of such a company being hacked are gigantic. this is a totally illegitimate business practice which surely must be illegal and i am attempting to notify the government of its existence.",i feel as if our banking account is being access by someone within the company or they have a breech that they are not telling their customers about. i am at the point that i am going to sue them for fraud and for not keeping our account safe.,4,
Are there complaints about loan repayment terms being unclear?,"The company is now reporting payments as "" unknown '' suggesting missed or not received, despite the fact that i have been making payments as directed by the loan company. i disputed this inaccuracy with the credit bureaus, but [ loan company name ] has not corrected the reported errors. this has severely impacted my credit score and my ability to access credit in the future.",i am filing this complaint because i was never provided with a copy of the terms and conditions for this loan. i would not have accepted it if it meant i would need to pay it back over and over again.,"i am filling this complaint bring to your attention a critical issue that i am facing with regards to my loan repayment. as an earnest borrower, i am disappointed and frustrated with the current restrictive payment options that have, thus far, made it impossible for me to meet my repayment obligations. this unexpected obstacle is not only causing me undue stress, but it also threatens to unjustly impact my credit score.","even more concerning, the company is now reporting payments as "" unknown '' suggesting missed or not received, despite the fact that i have been making payments as directed by the loan company. i disputed this inaccuracy with the credit bureaus, but [ loan company name ] has not corrected the reported errors. this has severely impacted my credit score and my ability to access credit in the future.",4,
Do users face challenges disputing fraudulent charges?,"Despite these fraudulent charges coming from websites or states i had never visited, for example goldman sachs claimed my physical card was used in texas while i was in florida, and i would give them all the evidence, and eventually after the two hour grueling irritating runaround that they had set up as on the internet you can see this was clearly a business practice of theirs, they would tell me they would be able to help, and then either never return a call, have someone call without any idea of the past discussion and start over, or try to claim the charges were valid.","the fraud "" investigators '' are poorly trained and not very good at their job if they though that this {$160.00} charge from a company based on another continent was a valid charge. i had no prior history of disputing charges. if there is a profile for consumers fraudulently claiming charges are valid i assure you that i do not fit this profile. this was a terrible experience and i am hopeful that others share their stories.","i was a loyal member of the delta skymiles american express credit card for several years, and i recently had the unfortunate experience of finding several thousand dollars of fraudulent charges on my credit card. i submitted a fraud claim to american express and they promptly handled the situation. this was subsequently followed by an investigation. during the investigation i was asked a series of questions which i answered and over the course of the investigation, the merchant where the fraudulent charges came from was unable to generate any documentation that could substantiate that these were in fact valid charges.","but then, despite these fraudulent charges coming from websites or states i had never visited, for example goldman sachs claimed my physical card was used in texas while i was in florida, and i would give them all the evidence, and eventually after the two hour grueling irritating runaround that they had set up as on the internet you can see this was clearly a business practice of theirs, they would tell me they would be able to help, and then either never return a call, have someone call without any idea of the past discussion and start over, or try to claim the charges were valid.",4,
Are there recurring issues with overdraft fees on savings accounts?,"I have been charged on numerous occasions for overdraft fees from my checking account, despite the funds being available in an associated savings account, which i requested multiple times be used. i have also been charged overdrafts because of wells fargo delay in tracking purchases and deposits which creates the overdraft in the first place by providing inaccurate balances.",my account constantly gets hit with overdraft fees and accumulate several overdraft charges even when money has not been spent. i have been refunded a few times but no true explanation on why if keeps happening.,"i was hit with overdraft fees of {$35.00} every single time something hit my account, multiple times a day, racking up hundreds of dollars of overdraft fees even when the overdrafts were for as little as {$4.00}.","i have been charged on numerous occasions for overdraft fees from my checking account, despite the funds being available in an associated savings account, which i requested multiple times be used. i have also been charged overdrafts because of wells fargo delay in tracking purchases and deposits which creates the overdraft in the first place by providing inaccurate balances.",4,
What do customers say about BNPL repayment flexibility?,BNPL's repayment flexibility should be better explained to the customers who come there to get a loan.,i would like very much to know is this not something that the cfpb could regulate. or instead of company 's locking people into rigid payment options. giving consumers fair options as long as they are on or before the repayment due date. otherwise this is an unfair way for company 's to profit indirectly. i know i have the choice of patronizing this business or not. originally this was a way for me to afford purchases i would otherwise have to pass over or wait longer to get sometimes missing sales or other promotions.,"i was not offered any hardship plan, promotional rate, or fixed low-rate repayment option. in fact, i was told the only program they offer to help pay off balances is to customers who behind in payments so by being a responsible customer i am being afforded the same programs offered to customers who are defaulting on their responsibilities. i am not sure how this is ethical.",i feel like i should be able to get the answers that i have repeatedly ask for. i think that the finance process with this company should be looked at and should be better explained to the clients who come there to get a loan.,5,
Are there complaints about credit score impacts from loan providers?,"Yes, there are complaints about credit score impacts from loan providers.",i have had them before but never to this extent. my complaint is that creditors should first of all explain this upfront in the loan signing process. our government laws should but never allow companies to rip off people this way. my credit scores are low but i do make my payments. i also want to know the organizations and/or government agencies that are working on correcting this abuse to consumers so that i can follow up with them. i will also be sending a letter to congress voicing my option.,"the result was that they pulled my credit and stated ; a lack of real estate secured loan information, too many revolving accounts with high balance compared to credit limit, too many bank cards with high balance compared to credit limit, unpaid collections, and number of inquiries was a factor in determining score. i have kept a very watchful eye on my credit reports and these factors stated were not relevant at the time of their assessment.","after some back and forth and no resolution, i made the payment to bring the account current and filed a dispute with the credit bureaus and this late payment report severely affected my credit score. i am in the process of buying a home and this ding to my credit scores has negatively impacted that process. supporting documentation will be attached to support the above statements.",5,
Do users report poor resolution from customer support teams?,"They did not try to rectify this issue at all and acted like they did not care about their customers which was apparent with their lack of communication, lack of care on my situation, lack of trying to help or offer options or lack of letting me talk to anyone that could help.","i would appreciate it if you could consider [ mention any specific resolution you seeke.g., compensation, better support for customers, assurance that this will be rectified in the future. i hope you take this matter seriously and understand the impact it has had on customers like myself. i look forward to your prompt response and a satisfactory resolution to my complaint.",it seems that they make any issue reporting and rectifying request difficult with length customer support chat and then referring the customer to other sort of customer support method. such practice creates a susception of exitance of systemically procedure of ignoring fair banking practices.,"they did not try to rectify this issue at all and acted like they did not care about their customers which was apparent with their lack of communication, lack of care on my situation, lack of trying to help or offer options or lack of letting me talk to anyone that could help.",4,
Are there patterns in complaints about mobile banking apps?,"Yes, there are patterns in complaints about mobile banking apps.",the banking app current and i have had very long dispute that they refuse to keep there word or follow the federal laws regulations about how this is to be handled.,"none of which reflected on my mobile banking app which is supposed to be the most up to date information. i then stated to her that the problem seems to be an internal processing issue as is always the case with regions, as i had done this numerous times with no issues.","the web portals have always been really bad and the mobile app is unusable. i did an online search and saw that this bank also had issues with redlining litigation. i have been with this bank for 10 years and it has always been subpar, i am ready to move on, put i feel i was set up to fail in this situation. llike it was deliberate.",5,
Do customers report being misled about promotional offers?,"Yes, customers report being misled about promotional offers.","overall, the promotional program was directly made misleading to take advantage of consumers by having sale representatives tell customers information that does not match up to credit company information, not providing terms and conditions to the customer, and then charging accrued interest before the customer has been told the promotion would end.","their lack of transparency, unprofessionalism, and inability to justify multiple conflicting promotional offers reflects poor customer service and a failure in accountability. i expect a clear and detailed explanation regarding how this discrepancy occurred.","i have provided them with screenshots of the offer i used, the original e-mail sent to me with the promotion, and a url link to a live webpage which shows the offer that they have repeatedly claimed that they do not know about. their customer service representatives claim that a "" back office '' handling these types of issues has to research it and that they will follow up with me - and then no one ever does.",5,
Are there complaints about delays in refund processing?,"Yes, there are complaints about delays in refund processing.",it is unfair that not only are they sitting on the refund gaining interest but refusing to communicate internally and advise me of where they are in the process. i believe i should be given the correct time frame to process as well as where they are in the process.,"admitting to me that i was supposed to get a refund today, however, their system must of had an error processing my payment - then not processing the payment after i questioned them about the refund, telling me there is nothing that can be done, and they re-initiated the refund to process 3 days later than when i was supposed to receive it, is just bonkers. i am pretty sure this breaks their own terms and conditions and may be stepping on banking violations.","according to the consumer financial protection bureau ( cfpb ) regulations, a consumer finance violation regarding refund timeframes could occur if a company takes significantly longer than seven business days to issue a refund after receiving a written request from a consumer. deliberately delaying refunds beyond a reasonable timeframe could be considered an unfair, deceptive, or abusive practice under the consumer financial protection act. i am in need of my refund.",5,
